scene_id,scene,collection,path,step,path_name,step_name,source_pool,scene_dir,hdr_path,bsq_path,original_cyl_path,original_corresp_path,manual_picks_path,benchmark_corresp_path,benchmark_cyl_path,las_path,sensor_id,sensor_num_bands,fit_rmse_total_px,num_picked_pairs,fit_json,session_json,has_fit_json,has_session_json,join_key
IHTest_202009_DistStA/Path4_DistStA/Path4_Step10,IHTest_202009_DistStA / path4 / path4_step10,IHTest_202009_DistStA,path4,path4_step10,Path4_DistStA,Path4_Step10,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step10_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step10_DistStA/IHTest_202009_Path4_Step10_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step10_DistStA/IHTest_202009_Path4_Step10_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step10_DistStA/IHTest_202009_Path4_Step10_HiResLIDAR_2x_DistStA.las,LWHSI1,256.0,9.525603614434383,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step10/session.json,True,True,IHTest_202009_DistStA|path4|path4_step10
IHTest_202009_DistStA/Path4_DistStA/Path4_Step11,IHTest_202009_DistStA / path4 / path4_step11,IHTest_202009_DistStA,path4,path4_step11,Path4_DistStA,Path4_Step11,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step11_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step11_DistStA/IHTest_202009_Path4_Step11_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step11_DistStA/IHTest_202009_Path4_Step11_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step11_DistStA/IHTest_202009_Path4_Step11_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,4.727202987233276,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step11/session.json,True,True,IHTest_202009_DistStA|path4|path4_step11
IHTest_202009_DistStA/Path4_DistStA/Path4_Step12,IHTest_202009_DistStA / path4 / path4_step12,IHTest_202009_DistStA,path4,path4_step12,Path4_DistStA,Path4_Step12,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step12_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step12_DistStA/IHTest_202009_Path4_Step12_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step12_DistStA/IHTest_202009_Path4_Step12_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step12_DistStA/IHTest_202009_Path4_Step12_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,23.20121282091034,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step12/session.json,True,True,IHTest_202009_DistStA|path4|path4_step12
IHTest_202009_DistStA/Path4_DistStA/Path4_Step13,IHTest_202009_DistStA / path4 / path4_step13,IHTest_202009_DistStA,path4,path4_step13,Path4_DistStA,Path4_Step13,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step13_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step13_DistStA/IHTest_202009_Path4_Step13_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step13_DistStA/IHTest_202009_Path4_Step13_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step13_DistStA/IHTest_202009_Path4_Step13_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,5.818113112178629,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step13/session.json,True,True,IHTest_202009_DistStA|path4|path4_step13
IHTest_202009_DistStA/Path4_DistStA/Path4_Step14,IHTest_202009_DistStA / path4 / path4_step14,IHTest_202009_DistStA,path4,path4_step14,Path4_DistStA,Path4_Step14,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step14_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step14_DistStA/IHTest_202009_Path4_Step14_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step14_DistStA/IHTest_202009_Path4_Step14_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step14_DistStA/IHTest_202009_Path4_Step14_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,14.21329547558072,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step14/session.json,True,True,IHTest_202009_DistStA|path4|path4_step14
IHTest_202009_DistStA/Path4_DistStA/Path4_Step15,IHTest_202009_DistStA / path4 / path4_step15,IHTest_202009_DistStA,path4,path4_step15,Path4_DistStA,Path4_Step15,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step15_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step15_DistStA/IHTest_202009_Path4_Step15_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step15_DistStA/IHTest_202009_Path4_Step15_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step15_DistStA/IHTest_202009_Path4_Step15_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,17.17735080187731,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step15/session.json,True,True,IHTest_202009_DistStA|path4|path4_step15
IHTest_202009_DistStA/Path4_DistStA/Path4_Step16,IHTest_202009_DistStA / path4 / path4_step16,IHTest_202009_DistStA,path4,path4_step16,Path4_DistStA,Path4_Step16,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step16_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step16_DistStA/IHTest_202009_Path4_Step16_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step16_DistStA/IHTest_202009_Path4_Step16_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step16/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step16/generated_corresp.txt,,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step16_DistStA/IHTest_202009_Path4_Step16_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step16/session.json,False,True,IHTest_202009_DistStA|path4|path4_step16
IHTest_202009_DistStA/Path4_DistStA/Path4_Step2,IHTest_202009_DistStA / path4 / path4_step2,IHTest_202009_DistStA,path4,path4_step2,Path4_DistStA,Path4_Step2,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step2_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step2_DistStA/IHTest_202009_Path4_Step2_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step2_DistStA/IHTest_202009_Path4_Step2_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step2_DistStA/IHTest_202009_Path4_Step2_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,211.51113712906863,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step2/session.json,True,True,IHTest_202009_DistStA|path4|path4_step2
IHTest_202009_DistStA/Path4_DistStA/Path4_Step3,IHTest_202009_DistStA / path4 / path4_step3,IHTest_202009_DistStA,path4,path4_step3,Path4_DistStA,Path4_Step3,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step3_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step3_DistStA/IHTest_202009_Path4_Step3_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step3_DistStA/IHTest_202009_Path4_Step3_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step3/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step3/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step3/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step3_DistStA/IHTest_202009_Path4_Step3_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,284.54391025639006,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step3/session.json,True,True,IHTest_202009_DistStA|path4|path4_step3
IHTest_202009_DistStA/Path4_DistStA/Path4_Step4,IHTest_202009_DistStA / path4 / path4_step4,IHTest_202009_DistStA,path4,path4_step4,Path4_DistStA,Path4_Step4,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step4_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step4_DistStA/IHTest_202009_Path4_Step4_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step4_DistStA/IHTest_202009_Path4_Step4_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step4/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step4/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step4/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step4_DistStA/IHTest_202009_Path4_Step4_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,4.521098802961157,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step4/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step4/session.json,True,True,IHTest_202009_DistStA|path4|path4_step4
