collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json,distance_agreement_available_current,distance_sampled_points,distance_missing_depth_points,distance_scene_error_count,distance_near_points_0_10m,distance_middle_points_10_100m,distance_far_points_100_inf,distance_max_error_percent_of_picked_range,distance_median_error_percent_of_picked_range,distance_mean_error_percent_of_picked_range,distance_max_error_m,distance_median_error_m,distance_all_points_pass_le_1pct,distance_all_points_pass_le_5pct,candidate_rmse5_distance5_current
IHTest_202104_DistStA,path24,path24_step18,IHTest_202104_DistStA / path24 / path24_step18,with_prior_cyl,True,True,True,annotated,good,,6.1950366425182555,4.362786605172416,4.398246473297285,False,True,12,274.185104,274.185104,,0,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/session.json,True,12,0,0,0,12,0,29.6084787739956,0.1187152524268962,2.8170570179821524,14.470945954735683,0.02399588214028192,False,False,False
IHTest_202104_DistStA,path24,path24_step2,IHTest_202104_DistStA / path24 / path24_step2,with_prior_cyl,True,True,True,annotated,usable with caution,,2.4583645023272696,2.4551670599997526,0.12534246604792104,True,True,8,303.597051,303.597051,,3,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step2/session.json,True,8,0,0,0,8,0,16.73073099001063,0.22480484933979428,2.578368430956678,5.655045886496019,0.08289140761060132,False,False,False
IHTest_202104_DistStA,path24,path24_step20,IHTest_202104_DistStA / path24 / path24_step20,with_prior_cyl,True,True,True,annotated,good,,5.467507267124405,4.32511442435501,3.3447004248952408,False,True,10,375.302598,375.302598,,0,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step20/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step20/session.json,True,10,0,0,0,10,0,30.21256286636318,1.1666031670641943,5.708034084272524,13.195645951282408,0.3738934089681827,False,False,False
IHTest_202104_DistStA,path24,path24_step25,IHTest_202104_DistStA / path24 / path24_step25,with_prior_cyl,True,True,True,annotated,good,,8.2620282245068,7.274910238402445,3.9162215726046785,False,True,11,265.474329,265.474329,,4,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step25/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step25/session.json,True,10,1,0,1,9,0,3.3005513063317817,0.11825078878882578,0.8047851642435875,0.9803920011276688,0.028412053873919874,False,False,False
IHTest_202104_DistStA,path24,path24_step28,IHTest_202104_DistStA / path24 / path24_step28,with_prior_cyl,True,True,True,annotated,usable with caution,,14.665479972224022,14.168992819065178,3.7836418050580995,False,False,12,333.290263,333.290263,,3,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step28/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step28/session.json,True,10,2,0,0,10,0,4.300162766697058,0.6270802625046924,1.2485990909616973,2.3220809363322346,0.1888973541682013,False,False,False
IHTest_202104_DistStA,path24,path24_step8,IHTest_202104_DistStA / path24 / path24_step8,with_prior_cyl,True,True,True,annotated,good,manual split review: misalignment,4.917738839856734,4.754644494209342,1.255990059960767,True,True,11,310.937698,310.937698,,3,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step8/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step8/session.json,True,11,0,0,0,11,0,4.08771147060137,0.25360146314951937,1.0362133420019186,3.18742383707972,0.05545238764692684,False,True,True
IHTest_202104_DistStA,path27,path27_step1,IHTest_202104_DistStA / path27 / path27_step1,with_prior_cyl,False,True,True,missing_session_json,,,2.5982595028290736,2.590341865348454,0.20268563013858867,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step1/fit.json,,True,8,0,0,0,8,0,48.70517187283143,0.28537467084665835,6.723056502766662,24.965600040177527,0.16099745600363846,False,False,False
IHTest_202104_DistStA,path27,path27_step14,IHTest_202104_DistStA / path27 / path27_step14,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path27,path27_step20,IHTest_202104_DistStA / path27 / path27_step20,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path27,path27_step24,IHTest_202104_DistStA / path27 / path27_step24,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
