collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json
IHTest_202104_DistStA,path29,path29_step13,IHTest_202104_DistStA / path29 / path29_step13,with_prior_cyl,False,True,True,missing_session_json,,,0.8796027922018322,0.839040678914861,0.26402994370970273,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step13/fit.json,
IHTest_202104_DistStA,path29,path29_step16,IHTest_202104_DistStA / path29 / path29_step16,with_prior_cyl,False,True,True,missing_session_json,,,75.67704049221797,74.47520794647123,13.433460425023231,False,False,11,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step16/fit.json,
IHTest_202104_DistStA,path29,path29_step20,IHTest_202104_DistStA / path29 / path29_step20,with_prior_cyl,False,True,True,missing_session_json,,,2.840636530731477,2.658485780620872,1.000834278970696,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step20/fit.json,
IHTest_202104_DistStA,path29,path29_step22,IHTest_202104_DistStA / path29 / path29_step22,with_prior_cyl,False,True,True,missing_session_json,,,7.3592230131122784,7.1481195839034415,1.750014220210068,False,True,9,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step22/fit.json,
IHTest_202104_DistStA,path29,path29_step5,IHTest_202104_DistStA / path29 / path29_step5,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path29,path29_step8,IHTest_202104_DistStA / path29 / path29_step8,with_prior_cyl,False,True,True,missing_session_json,,,158.21040690996085,155.5509674463832,28.886491325697886,False,False,9,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step8/fit.json,
IHTest_202104_DistStA,path2,path2_step1,IHTest_202104_DistStA / path2 / path2_step1,with_prior_cyl,False,True,True,missing_session_json,,,0.699495906443127,0.668058878290198,0.20734478114564217,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path2/path2_step1/fit.json,
IHTest_202104_DistStA,path2,path2_step2,IHTest_202104_DistStA / path2 / path2_step2,with_prior_cyl,False,True,True,missing_session_json,,,1.4434199433218604,1.1816876517462305,0.8289001305885785,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path2/path2_step2/fit.json,
IHTest_202104_DistStA,path2,path2_step9,IHTest_202104_DistStA / path2 / path2_step9,with_prior_cyl,False,True,True,missing_session_json,,,1.0818291102733306,1.0409037781605273,0.29474319066931176,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path2/path2_step9/fit.json,
IHTest_202104_DistStA,path32,path32_step1,IHTest_202104_DistStA / path32 / path32_step1,with_prior_cyl,False,True,True,missing_session_json,,,2.336662709801669,2.273961174197194,0.5376738766402911,True,True,10,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step1/fit.json,
