scene_id,collection,path,step,source_pool,fit_rmse_total_px,num_picked_pairs,fitted_cyl,fit_json
IHTest_202104_DistStA/Path32_DistStA/Path32_Step18,IHTest_202104_DistStA,path32,path32_step18,with_prior_cyl,458.33868177025107,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step18/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step18/fit.json
IHTest_202104_DistStA/Path32_DistStA/Path32_Step5,IHTest_202104_DistStA,path32,path32_step5,with_prior_cyl,7.511952087514382,11,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step5/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step5/fit.json
IHTest_202104_DistStA/Path32_DistStA/Path32_Step8,IHTest_202104_DistStA,path32,path32_step8,with_prior_cyl,6.232579226773502,11,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step8/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step8/fit.json
IHTest_202104_DistStA/Path9_DistStA/Path9_Step1,IHTest_202104_DistStA,path9,path9_step1,with_prior_cyl,0.9464568375534937,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step1/fit.json
IHTest_202104_DistStA/Path9_DistStA/Path9_Step16,IHTest_202104_DistStA,path9,path9_step16,with_prior_cyl,0.5706823417989847,9,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step16/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path9/path9_step16/fit.json
IHTest_202108_DistStA/Path4_DistStA/Path4_Step22,IHTest_202108_DistStA,path4,path4_step22,with_prior_cyl,1.0562370667587615,8,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path4/path4_step22/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202108_DistStA/path4/path4_step22/fit.json
IHTest_202009_DistStA/Path3_DistStA/Path3_Step1,IHTest_202009_DistStA,path3,path3_step1,without_prior_cyl,9.368535167247595,15,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/fit.json
IHTest_202009_DistStA/Path3_DistStA/Path3_Step2,IHTest_202009_DistStA,path3,path3_step2,without_prior_cyl,9.926621804863268,15,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/fit.json
IHTest_202009_DistStA/Path3_DistStA/Path3_Step3,IHTest_202009_DistStA,path3,path3_step3,without_prior_cyl,14.62031422742191,12,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/fit.json
IHTest_202009_DistStA/Path3_DistStA/Path3_Step4,IHTest_202009_DistStA,path3,path3_step4,without_prior_cyl,1.7288933910102149,8,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/fit.json
IHTest_202009_DistStA/Path3_DistStA/Path3_Step5,IHTest_202009_DistStA,path3,path3_step5,without_prior_cyl,16.562666959313663,11,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/fit.json
IHTest_202009_DistStA/Path3_DistStA/Path3_Step6,IHTest_202009_DistStA,path3,path3_step6,without_prior_cyl,1.5871155708681748,9,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step1,IHTest_202009_DistStA,path5,path5_step1,without_prior_cyl,7.715476757307816,9,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step1/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step10,IHTest_202009_DistStA,path5,path5_step10,without_prior_cyl,2.4409397253108907,9,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step10/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step10/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step2,IHTest_202009_DistStA,path5,path5_step2,without_prior_cyl,3.2712631406178585,10,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step2/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step2/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step3,IHTest_202009_DistStA,path5,path5_step3,without_prior_cyl,7.076835537959404,13,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step3/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step3/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step4,IHTest_202009_DistStA,path5,path5_step4,without_prior_cyl,6.29996750025609,18,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step4/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step4/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step5,IHTest_202009_DistStA,path5,path5_step5,without_prior_cyl,7.87697847166417,13,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step5/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step5/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step6,IHTest_202009_DistStA,path5,path5_step6,without_prior_cyl,9.02723746996919,11,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step6/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step6/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step7,IHTest_202009_DistStA,path5,path5_step7,without_prior_cyl,5.388823687689183,12,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step7/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step7/fit.json
IHTest_202009_DistStA/Path5_DistStA/Path5_Step8,IHTest_202009_DistStA,path5,path5_step8,without_prior_cyl,11.446416180496714,13,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step8/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path5/path5_step8/fit.json
IHTest_202009_DistStA/Path6_DistStA/Path6_Step1,IHTest_202009_DistStA,path6,path6_step1,without_prior_cyl,8.45910420572694,12,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step1/fit.json
IHTest_202009_DistStA/Path6_DistStA/Path6_Step2,IHTest_202009_DistStA,path6,path6_step2,without_prior_cyl,1.8741640919700384,9,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step2/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step2/fit.json
IHTest_202009_DistStA/Path6_DistStA/Path6_Step3,IHTest_202009_DistStA,path6,path6_step3,without_prior_cyl,2.7383628106270685,9,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step3/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step3/fit.json
IHTest_202009_DistStA/Path6_DistStA/Path6_Step4,IHTest_202009_DistStA,path6,path6_step4,without_prior_cyl,2.810929837774992,11,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step4/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step4/fit.json
IHTest_202009_DistStA/Path6_DistStA/Path6_Step5,IHTest_202009_DistStA,path6,path6_step5,without_prior_cyl,43.23077357686977,8,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step5/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path6/path6_step5/fit.json
